Anzeigename,Einleitung,Zimmerpflanze,bei Kälte ins Haus,sonnig,heller Standort,keine direkte Sonne,halbschattig,schattig,auch für dunklere Ecken geeignet,Kunstlicht geeignet,Nordfenster,Ostfenster,Südfenster,Westfenster,Himmelsrichtung,gießen von oben,gießen in den Untersetzer,will ins Wasser getaucht werden,gleichmäßig feuchte Erde,sparsam gießen,nicht gießen,nicht gießen im Winter,Gießpause,Regenwasser oder abgestandenes Wasser,besprühen,gießen & sprühen,Flüssigdünger,Langzeitdünger,Düngerstäbchen,Grünpflanzendünger,Blühpflanzendünger,Biodünger,Kakteendünger,Orchideendünger,nicht düngen,nicht düngen im Winter,Düngerpause,Blumenerde,Hydrokultur,Bioerde,Orchideenerde,Kakteenerde,Erde-Fragezeichen,leicht saure Erde,verträgt kein Frost,winterhart,Winterruhe,Ruhephase,Idealtemperatur,Mindesttemperatur,jahreszeitliche Besonderheiten,keine Zugluft / warmhalten,Rankhilfe für Pflanze,Schädlingskontrolle,schneiden nach Jahreszeit,schneiden nach der Blüte,umtopfen,Ableger,Vermehrung,Insektenfreundlich,essbar,giftig,Gießkanne,Kalender,Gießkanne halbvoll,Rankhilfe,Schere,Schneeflocke,Smiley,Sprühflasche,Blume im Topf,Düngerflasche-gefüllt,Biene,leer1,leer2,leer3,leer4
Nummerierung,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75.0,76,77.0,78
Dateiname,,zimmerpflanze.svg,bei_kaelte_im_haus.svg,sonnig.svg,keine_direkte_sonne.svg,keine_direkte_sonne_schirm.svg,halbschattig.svg,schattig.svg,fuer_dunklere_ecken.svg,kunstlicht_geeignet.svg,nordfenster.svg,ostfenster.svg,suedfenster.svg,westfenster.svg,kompassnadel.svg,giessen_von_oben.svg,giessen_in_den_untersetzer.svg,wasserbad.svg,gleichmaessig_feuchte_erde.svg,sparsam_giessen.svg,nicht_giessen.svg,nicht_giessen_im_winter.svg,giesspause.svg,kalkfreies_wasser.svg,bespruehen.svg,giessen_und_spruehen.svg,fluessigduenger.svg,langzeitduenger.svg,duengerstaebchen.svg,gruenpflanzenduenger.svg,bluehpflanzenduenger.svg,bioduenger.svg,kakteenduenger.svg,orchideenduenger.svg,nicht_duengen.svg,nicht_duengen_im_winter.svg,duengerpause.svg,blumenerde.svg,hydrokultur.svg,bioerde.svg,orchideenerde.svg,kakteenerde.svg,erde_fragezeichen.svg,leicht_saure_erde.svg,kein_frost.svg,winterhart.svg,winterruhe.svg,ruhephase.svg,thermometer_ideal.svg,thermometer_mindest.svg,kalender.svg,warmhalten_zugluftschutz.svg,rankhilfe_fuer_pflanzen.svg,schaedlingskontrolle.svg,schneiden_nach_jahreszeit.svg,schneiden_nach_der_bluete.svg,umtopfen.svg,ableger.svg,steckling.svg,insektenfreundlich.svg,essbar.svg,giftig.svg,giesskanne.svg,kalender.svg,giesskanne_halbvoll.svg,rankhilfe.svg,schneiden.svg,schneeflocke.svg,smiley.svg,spruehflasche.svg,blumentopf.svg,duengerflasche.svg,biene.svg,,,,
Wasserzeichen,,zimmerpflanze_symbol.png,bei_kaelte_im_haus_symbol.png,sonnig_symbol.png,keine_direkte_sonne_symbol.png,keine_direkte_sonne_schirm_symbol.png,halbschattig_symbol.png,schattig_symbol.png,fuer_dunklere_ecken_symbol.png,kunstlicht_geeignet_symbol.png,nordfenster_symbol.png,ostfenster_symbol.png,suedfenster_symbol.png,westfenster_symbol.png,kompassnadel_symbol.png,giessen_von_oben_symbol.png,giessen_in_den_untersetzer_symbol.png,wasserbad_symbol.png,gleichmaessig_feuchte_erde_symbol.png,sparsam_giessen_symbol.png,nicht_giessen_symbol.png,nicht_giessen_im_winter_symbol.png,giesspause_symbol.png,kalkfreies_wasser_symbol.png,bespruehen_symbol.png,giessen_und_spruehen_symbol.png,fluessigduenger_symbol.png,langzeitduenger_symbol.png,duengerstaebchen_symbol.png,gruenpflanzenduenger_symbol.png,bluehpflanzenduenger_symbol.png,bioduenger_symbol.png,kakteenduenger_symbol.png,orchideenduenger_symbol.png,nicht_duengen_symbol.png,nicht_duengen_im_winter_symbol.png,duengerpause_symbol.png,blumenerde_symbol.png,hydrokultur_symbol.png,bioerde_symbol.png,orchideenerde_symbol.png,kakteenerde_symbol.png,erde_fragezeichen_symbol.png,leicht_saure_erde_symbol.png,kein_frost_symbol.png,winterhart_symbol.png,winterruhe_symbol.png,ruhephase_symbol.png,thermometer_ideal_symbol.png,thermometer_mindest_symbol.png,kalender_symbol.png,warmhalten_zugluftschutz_symbol.png,rankhilfe_fuer_pflanzen_symbol.png,schaedlingskontrolle_symbol.png,schneiden_nach_jahreszeit_symbol.png,schneiden_nach_der_bluete_symbol.png,umtopfen_symbol.png,ableger_symbol.png,steckling_symbol.png,insektenfreundlich_symbol.png,essbar_symbol.png,giftig_symbol.png,giesskanne_symbol.png,kalender_symbol.png,giesskanne_halbvoll_symbol.png,rankhilfe_symbol.png,schneiden_symbol.png,schneeflocke_symbol.png,smiley_symbol.png,spruehflasche_symbol.png,blumentopf_symbol.png,duengerflasche_symbol.png,biene_symbol.png,,,,
Kategorie,,standort,standort,standort,standort,standort,standort,standort,standort,standort,standort,standort,standort,standort,standort,giessen,giessen,giessen,giessen,giessen,giessen,giessen,giessen,giessen,giessen,giessen,duengen,duengen,duengen,duengen,duengen,duengen,duengen,duengen,duengen,duengen,duengen,boden,boden,boden,boden,boden,boden,boden,templija,templija,templija,templija,templija,templija,templija,templija,wachstum,wachstum,wachstum,wachstum,wachstum,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,sonstiges,giessen,sonstiges,duengen,sonstiges,,sonstiges,,sonstiges
Farbcode für Kategorie,,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#69B07F,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#4D8DFF,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#9B7BD1,#6B4E2E,#6B4E2E,#6B4E2E,#6B4E2E,#6B4E2E,#6B4E2E,#6B4E2E,#FF8C3A,#FF8C3A,#FF8C3A,#FF8C3A,#FF8C3A,#FF8C3A,#FF8C3A,#FF8C3A,#2F7D4B,#2F7D4B,#2F7D4B,#2F7D4B,#2F7D4B,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#6B7280,#4D8DFF,#6B7280,#9B7BD1,#6B7280,,#6B7280,,#6B7280
Hinweis für Rückseite,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinweistext,,,,,,,,,,,Alternative wäre als Sticker Kompass und als Text daneben Nordfenster,Alternative wäre als Sticker Kompass und als Text daneben Ostfenster,Alternative wäre als Sticker Kompass und als Text daneben Südfenster,Alternative wäre als Sticker Kompass und als Text daneben Westfenster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
url adresse,,zimmerpflanze_symbol.png,bei_kaelte_im_haus_symbol.png,sonnig_symbol.png,keine_direkte_sonne_symbol.png,keine_direkte_sonne_schirm_symbol.png,halbschattig_symbol.png,schattig_symbol.png,fuer_dunklere_ecken_symbol.png,kunstlicht_geeignet_symbol.png,nordfenster_symbol.png,ostfenster_symbol.png,suedfenster_symbol.png,westfenster_symbol.png,kompassnadel_symbol.png,giessen_von_oben_symbol.png,giessen_in_den_untersetzer_symbol.png,wasserbad_symbol.png,gleichmaessig_feuchte_erde_symbol.png,sparsam_giessen_symbol.png,nicht_giessen_symbol.png,nicht_giessen_im_winter_symbol.png,giesspause_symbol.png,kalkfreies_wasser_symbol.png,bespruehen_symbol.png,giessen_und_spruehen_symbol.png,fluessigduenger_symbol.png,langzeitduenger_symbol.png,duengerstaebchen_symbol.png,gruenpflanzenduenger_symbol.png,bluehpflanzenduenger_symbol.png,bioduenger_symbol.png,kakteenduenger_symbol.png,orchideenduenger_symbol.png,nicht_duengen_symbol.png,nicht_duengen_im_winter_symbol.png,duengerpause_symbol.png,blumenerde_symbol.png,hydrokultur_symbol.png,bioerde_symbol.png,orchideenerde_symbol.png,kakteenerde_symbol.png,erde_fragezeichen_symbol.png,leicht_saure_erde_symbol.png,kein_frost_symbol.png,winterhart_symbol.png,winterruhe_symbol.png,ruhephase_symbol.png,thermometer_ideal_symbol.png,thermometer_mindest_symbol.png,kalender_symbol.png,warmhalten_zugluftschutz_symbol.png,rankhilfe_fuer_pflanzen_symbol.png,schaedlingskontrolle_symbol.png,schneiden_nach_jahreszeit_symbol.png,schneiden_nach_der_bluete_symbol.png,umtopfen_symbol.png,https://github.com/hamannsibylle-cmd/konfigurator/blob/main/ableger_symbol.png,https://github.com/hamannsibylle-cmd/konfigurator/blob/main/vermehrung_symbol.pngstecklin,insektenfreundlich_symbol.png,essbar_symbol.png,giftig_symbol.png,giesskanne_symbol.png,kalender_symbol.png,giesskanne_halbvoll_symbol.png,rankhilfe_symbol.png,schneiden_symbol.png,schneeflocke_symbol.png,smiley_symbol.png,spruehflasche_symbol.png,blumentopf_symbol.png,duengerflasche_symbol.png,biene_symbol.png,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropdowns 1,,bedingt,fgfgffd,Morgensonne,75,,,,,,Nordfenster,Ostfenster,Südfenster,Westfenster,,1x in der Woche,,,,,,,,,,,,,,alle 14 Tage,,,,,,,,,,,,,,,,,Nov.-Dez.,,16°-19° Celsius,nicht unter 15°,,,,,,,im Frühjahr,,,,,für Hunde,1x Woche,,,,,,,,,,,,,,
Dropdowns 2,,ja ,fgfdg,heller Platz,46,,,,,,,,,,,14 tägig,,,,,,,,,,,,,,alle 4 Wochen,,,,,,,,,,,,,,,,,Okt.-Jan.,,17°-20° Celsius,nicht unter 18°,,,,,,,alle 2 Jahre,,,,,für Katzen,2x Woche,,,,,,,,,,,,,,
Dropdowns 3,,nein,fgfdbfdgfs,,4646,,,,,,,,,,,2x in der Woche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Über 20° Celsius,,,,,,,,nur bei Bedarf,,,,,für Tiere,14 tägig,,,,,,,,,,,,,,
Dropdowns 4,,bei weniger als 15°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,für Mensch und Tier,,,,,,,,,,,,,,,
Dropdowns 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropdowns 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropdowns 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropdowns 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropdowns 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
